"Date(UTC)","BlockNumber","UnixTimeStamp","Value","ClientVersion"
"7/21/2019","8190722","1563667779","197202589285","2.5.5"
"7/22/2019","8197135","1563754191","197235766274","2.5.5"
"7/23/2019","8203612","1563840581","197521306689","2.5.5"
"7/24/2019","8210086","1563926975","197673667626","2.5.5"
"7/25/2019","8216529","1564013367","197948264490","2.5.5"
"7/26/2019","8222882","1564099777","198245075289","2.5.5"
"7/27/2019","8229324","1564186176","198592671431","2.5.5"
"7/28/2019","8235810","1564272580","198994779613","2.5.5"
"7/29/2019","8242270","1564358982","199206669788","2.5.5"
"7/30/2019","8248644","1564445381","199805936046","2.5.5"
"7/31/2019","8255135","1564531790","199806002397","2.5.5"
"8/1/2019","8261560","1564618180","201364582433","2.5.5"
"8/2/2019","8267903","1564704545","200415122356","2.5.5"
"8/3/2019","8274403","1564790981","200747298560","2.5.5"
"8/4/2019","8280873","1564877393","202271273478","2.5.5"
"8/5/2019","8287314","1564963773","201330244339","2.5.5"
"8/6/2019","8293772","1565050174","202880212629","2.5.5"
"8/7/2019","8300201","1565136594","203190163447","2.5.5"
"8/8/2019","8306699","1565222994","202043277453","2.5.5"
"8/9/2019","8313079","1565309368","202327297605","2.5.5"
"8/10/2019","8319494","1565395778","202792148878","2.5.5"
"8/11/2019","8325994","1565482134","202950946160","2.5.5"
"8/12/2019","8332421","1565568590","203184404158","2.5.5"
"8/13/2019","8338893","1565654995","203537744416","2.5.5"
"8/14/2019","8345327","1565741374","203820441005","2.5.5"
"8/15/2019","8351782","1565827768","204089103499","2.5.5"
"8/16/2019","8358191","1565914169","204265728244","2.5.5"
"8/17/2019","8364639","1566000581","204500054967","2.5.5"
"8/18/2019","8371128","1566086975","204749163897","2.5.5"
"8/19/2019","8377567","1566173387","205192750372","2.5.5"
"8/20/2019","8383940","1566259777","205449955989","2.5.5"
"8/21/2019","8390373","1566346182","207089900295","2.5.5"
"8/22/2019","8396818","1566432559","207589379683","2.5.5"
"8/23/2019","8403220","1566518992","206339053332","2.5.5"
"8/24/2019","8409697","1566605384","206667919778","2.5.5"
"8/25/2019","8416000","1566691786","208362294856","2.5.5"
"8/26/2019","8422589","1566778173","207248267937","2.5.6"
"8/27/2019","8428943","1566864552","207668710376","2.5.6"
"8/28/2019","8435344","1566950992","208732797889","2.5.6"
"8/29/2019","8441771","1567037395","207818429263","2.5.6"
"8/30/2019","8448246","1567123771","208225710338","2.5.6"
"8/31/2019","8454677","1567210147","208474373391","2.5.7"
"9/1/2019","8461093","1567296595","208769607653","2.5.7"
"9/2/2019","8467492","1567383002","209101077340","2.5.7"
"9/3/2019","8473919","1567469381","209291285738","2.5.7"
"9/4/2019","8480317","1567555794","210988646298","2.5.7"
"9/5/2019","8486710","1567642191","210079832577","2.5.7"
"9/6/2019","8493175","1567728601","210118193365","2.5.7"
"9/7/2019","8499554","1567814997","210448663318","2.5.7"
"9/8/2019","8505972","1567901383","210586960380","2.5.7"
"9/9/2019","8512370","1567987760","210897932387","2.5.7"
"9/10/2019","8518815","1568074202","211089931865","2.5.7"
"9/11/2019","8525205","1568160579","211461338089","2.5.7"
"9/12/2019","8531635","1568246936","211798989848","2.5.7"
"9/13/2019","8538074","1568333398","211989696078","2.5.7"
"9/14/2019","8544387","1568419787","212172138645","2.5.7"
"9/15/2019","8550817","1568506131","212484850558","2.5.7"
"9/16/2019","8557206","1568592605","212628983059","2.5.7"
"9/17/2019","8563661","1568678983","212845388415","2.5.7"
"9/18/2019","8570101","1568765400","213092626889","2.5.7"
"9/19/2019","8576567","1568851773","213336116723","2.5.7"
"9/20/2019","8582895","1568938176","213913672535","2.5.7"
"9/21/2019","8589345","1569024583","213936203462","2.5.7"
"9/22/2019","8595745","1569110993","214185483364","2.5.7"
"9/23/2019","8602126","1569197389","214334380408","2.5.7"
"9/24/2019","8608559","1569283745","216186840016","2.5.7"
"9/25/2019","8614851","1569370162","214943798163","2.5.7"
"9/26/2019","8621229","1569456580","215126181396","2.5.7"
"9/27/2019","8627638","1569543005","215221761150","2.5.7"
"9/28/2019","8633981","1569629372","215606038017","2.5.7"
"9/29/2019","8640418","1569715798","215792816104","2.5.7"
"9/30/2019","8646825","1569802179","217568600030","2.5.7"
"10/1/2019","8653219","1569888598","216374151323","2.5.7"
"10/2/2019","8659640","1569974988","217842186353","2.5.7"
"10/3/2019","8665979","1570061342","217172791230","2.5.7"
"10/4/2019","8672383","1570147789","217328234831","2.5.7"
"10/5/2019","8678819","1570234197","219330489271","2.5.7"
"10/6/2019","8685250","1570320594","219100115440","2.5.7"
"10/7/2019","8691699","1570406971","218324242971","2.5.7"
"10/8/2019","8698078","1570493401","218445670101","2.5.7"
"10/9/2019","8704421","1570579780","218815069358","2.5.7"
"10/10/2019","8710774","1570666129","219157386055","2.5.7"
"10/11/2019","8717132","1570752594","219461458150","2.5.7"
"10/12/2019","8723493","1570838999","220981583071","2.5.7"
"10/13/2019","8729825","1570925338","220030760005","2.5.7"
"10/14/2019","8736200","1571011794","220120183696","2.5.7"
"10/15/2019","8742589","1571098183","220374627400","2.5.7"
"10/16/2019","8749005","1571184588","220718578855","2.5.7"
"10/17/2019","8755341","1571270994","221090715041","2.5.7"
"10/18/2019","8761632","1571357398","222754039315","2.5.7"
"10/19/2019","8767980","1571443772","223085514924","2.5.7"
"10/20/2019","8774313","1571530173","221794081210","2.5.7"
"10/21/2019","8780696","1571616579","222123571827","2.5.9"
"10/22/2019","8786973","1571702996","223583852128","2.5.9"
"10/23/2019","8793393","1571789393","222706547477","2.5.9"
"10/24/2019","8799777","1571875782","224044009180","2.5.9"
"10/25/2019","8806021","1571962172","223343472839","2.5.9"
"10/26/2019","8812167","1572048586","224699613764","2.5.9"
"10/27/2019","8818435","1572134998","223882447140","2.5.9"
"10/28/2019","8824615","1572221380","224232078061","2.5.9"
"10/29/2019","8830863","1572307794","224503734052","2.5.9"
"10/30/2019","8837052","1572394192","224867577896","2.5.9"
"10/31/2019","8843296","1572480584","225138718271","2.5.9"
"11/1/2019","8849524","1572566949","225296464751","2.5.9"
"11/2/2019","8855776","1572653369","226090293820","2.5.9"
"11/3/2019","8861965","1572739724","225898524067","2.5.9"
"11/4/2019","8868213","1572826155","226168475440","2.5.9"
"11/5/2019","8874423","1572912569","226503757791","2.5.9"
"11/6/2019","8880645","1572998991","228180718122","2.5.9"
"11/7/2019","8886854","1573085385","227159270010","2.5.9"
"11/8/2019","8893026","1573171802","227525098264","2.5.9"
"11/9/2019","8899221","1573258169","229354932025","2.5.9"
"11/10/2019","8905341","1573344599","228063082887","2.5.9"
"11/11/2019","8911342","1573430994","228430110444","2.5.9"
"11/12/2019","8917320","1573517364","229911384836","2.5.9"
"11/13/2019","8923364","1573603789","228986657526","2.5.9"
"11/14/2019","8929359","1573690191","229477288350","2.5.9"
"11/15/2019","8935387","1573776595","229623326352","2.5.9"
"11/16/2019","8941376","1573862962","229838473506","2.5.9"
"11/17/2019","8947399","1573949401","230141393512","2.5.9"
"11/18/2019","8953432","1574035785","230389314400","2.5.9"
"11/19/2019","8959400","1574122178","230738063806","2.5.9"
"11/20/2019","8965313","1574208577","231221209483","2.5.9"
"11/21/2019","8971288","1574294984","231365835378","2.5.10"
"11/22/2019","8977356","1574381396","231606359184","2.5.10"
"11/23/2019","8983331","1574467790","231948265908","2.5.10"
"11/24/2019","8989370","1574554187","233524835926","2.5.10"
"11/25/2019","8995387","1574640574","232396713691","2.5.10"
"11/26/2019","9001289","1574727001","232867277849","2.5.10"
"11/27/2019","9006951","1574813405","233110996260","2.5.10"
"11/28/2019","9012598","1574899802","233454792135","2.5.10"
"11/29/2019","9018227","1574986200","233781779402","2.5.10"
"11/30/2019","9023845","1575072593","235541672013","2.5.10"
"12/1/2019","9029546","1575158988","234011380134","2.5.10"
"12/2/2019","9035143","1575245386","234563902775","2.5.10"
"12/3/2019","9040816","1575331792","234946910785","2.5.10"
"12/4/2019","9046460","1575418201","235257387709","2.5.10"
"12/5/2019","9052024","1575504568","235508413027","2.5.10"
"12/6/2019","9057648","1575590951","235826293512","2.5.10"
"12/7/2019","9063264","1575677379","235756399010","2.5.11"
"12/8/2019","9068923","1575763776","235994817717","2.5.11"
"12/9/2019","9074540","1575850169","236394117303","2.5.11"
"12/10/2019","9080186","1575936597","236808372629","2.5.11"
"12/11/2019","9085888","1576022969","237136256825","2.5.11"
"12/12/2019","9091464","1576109330","238561581851","2.5.11"
"12/13/2019","9097171","1576195771","237830284637","2.5.11"
"12/14/2019","9102654","1576282182","238111538852","2.5.11"
"12/15/2019","9107778","1576368577","238360804997","2.5.11"
"12/16/2019","9112905","1576454922","238583608527","2.5.11"
"12/17/2019","9118003","1576541397","238775263727","2.5.11"
"12/18/2019","9123044","1576627798","239147927923","2.5.11"
"12/19/2019","9128043","1576714173","239466847195","2.5.11"
"12/20/2019","9133057","1576800592","239655166275","2.5.11"
"12/21/2019","9138038","1576886936","239837370404","2.5.11"
"12/22/2019","9143116","1576973341","240221489191","2.5.11"
"12/23/2019","9148104","1577059775","240451049513","2.5.12"
"12/24/2019","9153115","1577146152","240598329712","2.5.12"
"12/25/2019","9158187","1577232561","242118307150","2.5.12"
"12/26/2019","9163180","1577318955","241233982844","2.5.12"
"12/27/2019","9168156","1577405374","241413358276","2.5.12"
"12/28/2019","9173186","1577491799","241726742264","2.5.12"
"12/29/2019","9178255","1577578179","241941729015","2.5.12"
"12/30/2019","9183294","1577664581","242070467298","2.5.12"
"12/31/2019","9188309","1577750999","242439500192","2.5.12"
"1/1/2020","9193298","1577837353","243749891776","2.5.13"
"1/2/2020","9198286","1577923760","242774776492","2.5.13"
"1/3/2020","9203965","1578010175","242992034996","2.5.13"
"1/4/2020","9210487","1578096595","243344837607","2.5.13"
"1/5/2020","9217066","1578182997","243477686068","2.5.13"
"1/6/2020","9223546","1578269390","243686402771","2.5.13"
"1/7/2020","9230133","1578355797","244004071131","2.5.13"
"1/8/2020","9236669","1578442185","244354437378","2.5.13"
"1/9/2020","9243307","1578530568","244540213251","2.5.13"
"1/10/2020","9249839","1578617036","244869076554","2.5.13"
"1/11/2020","9256250","1578701379","245137277971","2.5.13"
"1/12/2020","9262783","1578787790","245275402467","2.5.13"
"1/13/2020","9269294","1578874192","245600225696","2.5.13"
"1/14/2020","9275830","1578960583","246115666950","2.5.13"
"1/15/2020","9282353","1579046959","246206850504","2.5.13"
"1/16/2020","9289552","1579142679","246664619514","2.5.13"
"1/17/2020","9295368","1579219762","248273217470","2.5.13"
"1/18/2020","9301920","1579306191","248322425844","2.5.13"
"1/19/2020","9308443","1579392588","248816985028","2.5.13"
"1/20/2020","9315018","1579478984","249026740098","2.5.13"
"1/21/2020","9321526","1579565397","247887317384","2.5.13"
"1/22/2020","9328090","1579651761","248139801122","2.5.13"
"1/23/2020","9334566","1579738185","249981694651","2.5.13"
"1/24/2020","9341132","1579824590","248618234272","2.5.13"
"1/25/2020","9347661","1579910999","248970957766","2.5.13"
"1/26/2020","9354147","1579997380","249243734202","2.5.13"
"1/27/2020","9360646","1580083795","249562718689","2.5.13"
"1/28/2020","9367194","1580170188","249605125665","2.5.13"
"1/29/2020","9373701","1580256573","250014233445","2.5.13"
"1/30/2020","9380263","1580342970","250357098596","2.5.13"
"1/31/2020","9386696","1580429388","250546772445","2.5.13"
"2/1/2020","9393189","1580515743","250769375426","2.5.13"
"2/2/2020","9399686","1580602177","251269254002","2.5.13"
"2/3/2020","9406224","1580688586","251334822305","2.5.13"
"2/4/2020","9412749","1580774972","252659314091","2.5.13"
"2/5/2020","9419316","1580861402","251917019445","2.5.13"
"2/6/2020","9425767","1580947797","252284567952","2.5.13"
"2/7/2020","9432289","1581034176","252703515389","2.5.13"
"2/8/2020","9438789","1581120582","253093012476","2.5.13"
"2/9/2020","9445256","1581206986","253391609647","2.5.13"
"2/10/2020","9451753","1581293355","253632240637","2.5.13"
"2/11/2020","9458348","1581379797","253884870954","2.5.13"
"2/12/2020","9464867","1581466150","254151326584","2.5.13"
"2/13/2020","9471330","1581552576","254508680879","2.5.13"
"2/14/2020","9477828","1581638969","254830812557","2.5.13"
"2/15/2020","9484475","1581727366","255104254190","2.5.13"
"2/16/2020","9490770","1581811745","255487604834","2.5.13"
"2/17/2020","9497329","1581898175","255738692914","2.5.13"
"2/18/2020","9503780","1581984569","255976923655","2.5.13"
"2/19/2020","9510267","1582070956","256554182103","2.5.13"
"2/20/2020","9516824","1582157395","256670601053","2.5.13"
"2/21/2020","9523309","1582243793","257112389650","2.5.13"
"2/22/2020","9529774","1582330177","257184921754","2.5.13"
"2/23/2020","9536317","1582416576","257650890444","2.5.13"
"2/24/2020","9542839","1582502975","257770162696","2.5.13"
"2/25/2020","9549303","1582589371","258225506730","2.5.13"
"2/26/2020","9555773","1582675771","260025432928","2.5.13"
"2/27/2020","9562297","1582762164","258657938288","2.5.13"
"2/28/2020","9568815","1582848591","259006671316","2.5.13"
"2/29/2020","9575321","1582934985","259388157518","2.5.13"
"3/1/2020","9581832","1583021385","259741106933","2.5.13"
"3/2/2020","9588332","1583107744","259874258515","2.5.13"
"3/3/2020","9594861","1583194148","260176701582","2.5.13"
"3/4/2020","9601362","1583280572","260568359382","2.5.13"
"3/5/2020","9607895","1583366989","260792918879","2.5.13"
"3/6/2020","9614312","1583453350","261197809690","2.5.13"
"3/7/2020","9620878","1583539770","261435232285","2.5.13"
"3/8/2020","9627414","1583626131","261680229778","2.5.13"
"3/9/2020","9633964","1583712597","261987021999","2.5.13"
"3/10/2020","9640396","1583798980","262281873341","2.5.13"
"3/11/2020","9646909","1583885390","262895998507","2.5.13"
"3/12/2020","9653425","1583971779","263084945344","2.5.13"
